question_number,subject,topic,type,question_text,option_a,option_b,option_c,option_d,correct_option,correct_answer,answer_tolerance,difficulty,exam_year,marks,tags,theory_title,theory_text,needs_review,review_reason
167,Computer Science,Algorithms,mcq,Let G be an edge-weighted undirected graph with positive edge weights. Suppose a positive constant α is added to the weight of every edge. Which ONE of the following statements is TRUE about the minimum spanning trees (MSTs) and shortest paths (SPs) in G before and after the edge weight update?,"Every MST remains an MST, and every SP remains an SP.","MSTs need not remain MSTs, and every SP remains an SP.","Every MST remains an MST, and SPs need not remain SPs.","MSTs need not remain MSTs, and SPs need not remain SPs.",C,,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
168,Computer Science,Programming and Data Structures,mcq,A meld operation on two instances of a data structure combines them into one single instance of the same data structure. Consider the following data structures: P: Unsorted doubly linked list with pointers to the head node and tail node of the list. Q: Min-heap implemented using an array. R: Binary Search Tree. Which ONE of the following options gives the worst-case time complexities for meld operation on instances of size n of these data structures?,"P: Θ(1), Q: Θ(n), R: Θ(n)","P: Θ(1), Q: Θ(n log n), R: Θ(n)","P: Θ(n), Q: Θ(n log n), R: Θ(n^2)","P: Θ(1), Q: Θ(n), R: Θ(n log n)",A,,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
169,Computer Science,Computer Organization and Architecture,mcq,"For a direct-mapped cache, 4 bits are used for the tag field and 12 bits are used to index into a cache block. The size of each cache block is one byte. Assume that there is no other information stored for each cache block. Which ONE of the following is the CORRECT option for the sizes of the main memory and the cache memory in this system (byte addressable), respectively?",64 KB and 4 KB,128 KB and 16 KB,64 KB and 8 KB,128 KB and 6 KB,A,,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
170,Computer Science,Compiler Design,mcq,Given a Context-Free Grammar G as follows: S -> Aa | bAc | dc | bda; A -> d. Which ONE of the following statements is TRUE?,G is neither LALR(1) nor SLR(1),"G is CLR(1), not LALR(1)","G is LALR(1), not SLR(1)","G is LALR(1), also SLR(1)",C,,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
171,Computer Science,Algorithms,mcq,An array A of length n with distinct elements is said to be bitonic if there is an index 1 <= i <= n such that A[1..i] is sorted in the non-decreasing order and A[i+1..n] is sorted in the non-increasing order. Which ONE of the following represents the best possible asymptotic bound for the worst-case number of comparisons by an algorithm that searches for an element in a bitonic array A?,Θ(n),Θ(1),Θ(log^2 n),Θ(log n),D,,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
172,Computer Science,Engineering Mathematics,mcq,"Let F be the set of all functions from {1,...,n} to {0,1}. Define the binary relation ≼ on F as follows: ∀f,g ∈ F, f ≼ g if and only if ∀x ∈ {1,...,n}, f(x) <= g(x), where 0 <= 1. Which of the following statement(s) is/are TRUE?",≼ is a symmetric relation,"(F, ≼) is a partial order","(F, ≼) is a lattice",≼ is an equivalence relation,"B,C",,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
173,Computer Science,Digital Logic,mcq,"Given the following Karnaugh Map for a Boolean function F(w,x,y,z) with the pattern: row wx=00: yz(00,01,11,10) = 1,0,0,1; row wx=01: 0,1,1,0; row wx=11: 0,1,1,0; row wx=10: 1,0,0,1. Which one or more of the following Boolean expression(s) represent(s) F?",w̅x̅y̅z̅ + wx̅y̅z̅ + w̅x̅yz̅ + wx̅yz̅ + xz,w̅x̅y̅z̅ + w̅x̅yz̅ + wx̅yz + xz,w̅x̅y̅z̅ + wx̅y̅z̅ + wx̅y̅z + xz,x̅z̅ + xz,"A,D",,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
174,Computer Science,Engineering Mathematics,mcq,"Consider a system of linear equations PX = Q where P ∈ R^(3x3) and Q ∈ R^(3x1). Suppose P has an LU decomposition, P = LU, where L is unit lower triangular with entries l21,l31,l32 and U is upper triangular with entries u11,u12,u13,u22,u23,u33. Which of the following statement(s) is/are TRUE?",The system PX = Q can be solved by first solving LY = Q and then UX = Y.,"If P is invertible, then both L and U are invertible.","If P is singular, then at least one of the diagonal elements of U is zero.","If P is symmetric, then both L and U are symmetric.","A,B,C",,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
175,Computer Science,Programming and Data Structures,mcq,"Consider a stack data structure into which we can PUSH and POP records. Assume that each record pushed in the stack has a positive integer key and that all keys are distinct. We wish to augment the stack data structure with an O(1) time MIN operation that returns a pointer to the record with smallest key present in the stack 1) without deleting the corresponding record, and 2) without increasing the complexities of the standard stack operations. Which one or more of the following approach(es) can achieve it?","Keep with every record in the stack, a pointer to the record with the smallest key below it.",Keep a pointer to the record with the smallest key in the stack.,Keep an auxiliary array in which the key values of the records in the stack are maintained in sorted order.,Keep a Min-Heap in which the key values of the records in the stack are maintained.,A,,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
176,Computer Science,Databases,mcq,"Consider the following relational schema along with all the functional dependencies that hold on them. R1(A,B,C,D,E): {D->E, EA->B, EB->C}. R2(A,B,C,D): {A->D, A->B, C->A}. Which of the following statement(s) is/are TRUE?",R1 is in 3NF,R2 is in 3NF,R1 is NOT in 3NF,R2 is NOT in 3NF,"C,D",,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
177,Computer Science,Operating System,mcq,"Consider a demand paging system with three frames, and the following page reference string: 1 2 3 4 5 4 1 6 4 5 1 3 2. The contents of the frames are given initially and after each reference, with starred references causing page replacements. Which one or more of the following could be the page replacement policy/policies in use?",Least Recently Used page replacement policy,Least Frequently Used page replacement policy,Most Frequently Used page replacement policy,Optimal page replacement policy,"A,D",,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
178,Computer Science,Operating System,mcq,"P = {P1,P2,P3,P4} consists of all active processes in an operating system. R = {R1,R2,R3,R4} consists of single instances of distinct types of resources in the system. The resource allocation graph has the following assignment and claim edges. Assignment edges: R1->P1, R2->P2, R3->P3, R4->P4. Claim edges: P1->R2, P2->R3, P3->R1, P2->R4, P4->R2. Which of the following statement(s) is/are CORRECT?",Aborting P1 makes the system deadlock free.,Aborting P3 makes the system deadlock free.,Aborting P2 makes the system deadlock free.,Aborting P1 and P4 makes the system deadlock free.,"A,B,C,D",,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
179,Computer Science,Computer Organization and Architecture,mcq,"Three floating point numbers X, Y, and Z are stored in three registers RX, RY, and RZ, respectively in IEEE 754 single precision format as given below in hexadecimal: RX = 0xC1100000, RY = 0x40C00000, and RZ = 0x41400000. Which of the following option(s) is/are CORRECT?",4(X+Y) + Z = 0,2Y - Z = 0,4X + 3Z = 0,X + Y + Z = 0,"A,B,D",,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
180,Computer Science,Digital Logic,mcq,Which of the following Boolean algebraic equation(s) is/are CORRECT?,A̅BC + AB̅C̅ + A̅B̅C̅ + AB̅C + ABC = BC + B̅C̅ + A̅B̅,AB + A̅C + BC = AB + A̅C,(A+C)(A̅+B) = AB + A̅C,NOT[(A+B̅+D̅)(C+D)(A̅+C+D)(A+B+D̅)] = A̅D + C̅D̅,"A,B,C,D",,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
181,Computer Science,Compiler Design,mcq,"Consider two grammars G1 and G2 with the production rules given below: G1: S -> if E then S | if E then S else S | a; E -> b. G2: S -> if E then S | M; M -> if E then M else S | c; E -> b. where if, then, else, a, b, c are the terminals. Which of the following option(s) is/are CORRECT?",G1 is not LL(1) and G2 is LL(1).,G1 is LL(1) and G2 is not LL(1).,G1 and G2 are not LL(1).,G1 and G2 are ambiguous.,C,,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
182,Computer Science,Theory of Computation,mcq,"Let Σ = {a,b,c}. For x ∈ Σ*, and α ∈ Σ, let #α(x) denote the number of occurrences of α in x. Which one or more of the following option(s) define(s) regular language(s)?","{a^m b^n | m,n >= 0}","{a,b}* ∩ {a^m b^n c^(m-n) | m >= n >= 0}","{w | w ∈ {a,b}*, #a(w) ≡ 2 (mod 7), and #b(w) ≡ 3 (mod 9)}","{w | w ∈ {a,b}*, #a(w) ≡ 2 (mod 7), and #a(w) = #b(w)}","A,C",,,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
183,Computer Science,Databases,mcq,"Consider the database transactions T1 and T2, and data items X and Y. T1: R1(X), W1(Y), R1(X), W1(X), COMMIT(T1). T2: W2(X), W2(Y), COMMIT(T2). Which of the schedule(s) is/are conflict serializable?","R1(X), W2(X), W1(Y), W2(Y), R1(X), W1(X), COMMIT(T2), COMMIT(T1)","W2(X), R1(X), W2(Y), W1(Y), R1(X), COMMIT(T2), W1(X), COMMIT(T1)","R1(X), W1(Y), W2(X), W2(Y), R1(X), W1(X), COMMIT(T1), COMMIT(T2)","W2(X), R1(X), W1(Y), W2(Y), R1(X), COMMIT(T2), W1(X), COMMIT(T1)","C,D",,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
184,Computer Science,Databases,mcq,"Consider the following relational schema: Students(rollno: integer, name: string, age: integer, cgpa: real); Courses(courseno: integer, cname: string, credits: integer); Enrolled(rollno: integer, courseno: integer, grade: string). Which of the following options is/are correct SQL query/queries to retrieve the names of the students enrolled in course number (i.e., courseno) 1470?",SELECT S.name FROM Students S WHERE EXISTS (SELECT * FROM Enrolled E WHERE E.courseno = 1470 AND E.rollno = S.rollno);,SELECT S.name FROM Students S WHERE SIZEOF (SELECT * FROM Enrolled E WHERE E.courseno = 1470 AND E.rollno = S.rollno) > 0;,SELECT S.name FROM Students S WHERE 0 < (SELECT COUNT(*) FROM Enrolled E WHERE E.courseno = 1470 AND E.rollno = S.rollno);,SELECT S.name FROM Students S NATURAL JOIN Enrolled E WHERE E.courseno = 1470;,"A,C,D",,,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
185,Computer Science,Computer Organization and Architecture,nat,"Given a computing system with two levels of cache (L1 and L2) and a main memory. The first level (L1) cache access time is 1 nanosecond (ns) and the ""hit rate"" for L1 cache is 90% while the processor is accessing the data from L1 cache. Whereas, for the second level (L2) cache, the ""hit rate"" is 80% and the ""miss penalty"" for transferring data from L2 cache to L1 cache is 10 ns. The ""miss penalty"" for the data to be transferred from main memory to L2 cache is 100 ns. Then the average memory access time in this system in nanoseconds is ___________. (rounded off to one decimal place)",,,,,,4.0,0,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
186,Computer Science,Computer Organization and Architecture,nat,"A 5-stage instruction pipeline has stage delays of 180, 250, 150, 170, and 250, respectively, in nanoseconds. The delay of an inter-stage latch is 10 nanoseconds. Assume that there are no pipeline stalls due to branches and other hazards. The time taken to process 1000 instructions in microseconds is __________. (rounded off to two decimal places)",,,,,,260.70,0.50,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
187,Computer Science,Databases,nat,"In a B+-tree where each node can hold at most four key values, a root to leaf path consists of the following nodes: A = (49, 77, 83, -), B = (7, 19, 33, 44), C = (20*, 22*, 25*, 26*). The *-marked keys signify that these are data entries in a leaf. Assume that a pointer between keys k1 and k2 points to a subtree containing keys in [k1,k2), and that when a leaf is created, the smallest key in it is copied up into its parent. A record with key value 23 is inserted into the B+-tree. The smallest key value in the parent of the leaf that contains 25* is __________. (Answer in integer)",,,,,,33,0,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
188,Computer Science,Operating System,nat,"A computer system supports a logical address space of 2^32 bytes. It uses two-level hierarchical paging with a page size of 4096 bytes. A logical address is divided into a b-bit index to the outer page table, an offset within the page of the inner page table, and an offset within the desired page. Each entry of the inner page table uses eight bytes. All the pages in the system have the same size. The value of b is ___________. (Answer in integer)",,,,,,11,0,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
189,Computer Science,Algorithms,nat,Consider the following algorithm someAlgo that takes an undirected graph G as input. 1. Let v be any vertex in G. Run BFS on G starting at v. Let u be a vertex in G at maximum distance from v as given by the BFS. 2. Run BFS on G again with u as the starting vertex. Let z be the vertex at maximum distance from u as given by the BFS. 3. Output the distance between u and z in G. The output of someAlgo(T) for the tree shown in the given figure is ___________. (Answer in integer),,,,,,6,0,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
190,Computer Science,Theory of Computation,nat,"Let Σ = {1,2,3,4}. For x ∈ Σ*, let prod(x) be the product of symbols in x modulo 7. We take prod(ε) = 1, where ε is the null string. For example, prod(124) = (1×2×4) mod 7 = 1. Define L = {x ∈ Σ* | prod(x) = 2}. The number of states in a minimum state DFA for L is ___________. (Answer in integer)",,,,,,6,0,Hard,2025,2,PYQ;GATE 2025;Set 2,,,,
191,Computer Science,Computer Organization and Architecture,nat,"An application executes 6.4 × 10^8 number of instructions in 6.3 seconds. There are four types of instructions, the details of which are given in the table: Branch: CPI 2, count 2.25×10^8; Load: CPI 5, count 1.20×10^8; Store: CPI 4, count 1.65×10^8; Arithmetic: CPI 3, count 1.30×10^8. The duration of a clock cycle in nanoseconds is _________. (rounded off to one decimal place)",,,,,,3.0,0,Medium,2025,2,PYQ;GATE 2025;Set 2,,,,
